Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 19:55:59,2018-08-27 19:56:24,24.512s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 19:55:59,2018-08-27 19:56:14,14.304s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 19:56:00,2018-08-27 19:56:04,4.351s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 19:56:04,2018-08-27 19:56:05,0.839s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 19:56:05,2018-08-27 19:56:05,0.296s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 19:56:05,2018-08-27 19:56:10,5.216s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 19:56:10,2018-08-27 19:56:12,1.196s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 19:56:12,2018-08-27 19:56:12,0.798s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 19:56:12,2018-08-27 19:56:13,0.162s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 19:56:13,2018-08-27 19:56:14,1.169s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE2,Chrome 68.0.3440.106,input data in textfield,2018-08-27 19:56:14,2018-08-27 19:56:14,0.599s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 19:56:14,2018-08-27 19:56:14,0.063s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 19:56:14,2018-08-27 19:56:14,0.013s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 19:56:14,2018-08-27 19:56:14,0.001s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 19:56:14,2018-08-27 19:56:21,6.644s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 19:56:14,2018-08-27 19:56:21,6.550s,PASSED
