Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:21:20,2018-08-27 21:22:22,1m - 2.231s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:21:20,2018-08-27 21:21:30,9.902s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:21:20,2018-08-27 21:21:24,3.706s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:21:24,2018-08-27 21:21:24,0.732s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:21:24,2018-08-27 21:21:25,0.274s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:21:25,2018-08-27 21:21:27,2.671s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:21:27,2018-08-27 21:21:29,1.156s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:21:29,2018-08-27 21:21:29,0.160s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:21:29,2018-08-27 21:21:29,0.124s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:21:29,2018-08-27 21:21:30,0.787s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:21:30,2018-08-27 21:21:49,19.499s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:21:30,2018-08-27 21:21:49,19.045s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:21:49,2018-08-27 21:21:49,0.000s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:21:49,2018-08-27 21:21:49,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:21:49,2018-08-27 21:22:21,31.709s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:21:49,2018-08-27 21:22:21,31.601s,FAILED
