Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:25:07,2018-08-27 21:26:10,1m - 3.375s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:25:07,2018-08-27 21:25:17,10.476s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:25:07,2018-08-27 21:25:10,3.491s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:25:10,2018-08-27 21:25:11,0.744s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:25:11,2018-08-27 21:25:11,0.290s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:25:11,2018-08-27 21:25:15,3.471s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:25:15,2018-08-27 21:25:16,1.154s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:25:16,2018-08-27 21:25:16,0.171s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:25:16,2018-08-27 21:25:16,0.115s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:25:16,2018-08-27 21:25:17,0.800s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:25:17,2018-08-27 21:25:37,19.967s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:25:18,2018-08-27 21:25:37,19.608s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:25:37,2018-08-27 21:25:37,0.000s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:25:37,2018-08-27 21:25:37,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:25:37,2018-08-27 21:26:09,31.734s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:25:37,2018-08-27 21:26:09,31.651s,FAILED
