Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:52:57,2018-08-27 21:53:40,42.812s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:52:57,2018-08-27 21:53:06,9.068s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:52:58,2018-08-27 21:53:00,2.867s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:53:00,2018-08-27 21:53:01,0.371s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:53:01,2018-08-27 21:53:01,0.284s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:53:01,2018-08-27 21:53:04,3.029s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:53:04,2018-08-27 21:53:05,1.166s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:53:05,2018-08-27 21:53:05,0.210s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:53:05,2018-08-27 21:53:06,0.131s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:53:06,2018-08-27 21:53:06,0.770s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:53:06,2018-08-27 21:53:38,31.562s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:53:07,2018-08-27 21:53:38,31.186s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:53:38,2018-08-27 21:53:38,0.001s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:53:38,2018-08-27 21:53:39,1.083s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:53:38,2018-08-27 21:53:39,0.972s,PASSED
