Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:29:17,2018-08-27 21:30:48,1m - 31.177s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:29:17,2018-08-27 21:29:27,9.891s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:29:17,2018-08-27 21:29:21,3.385s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:29:21,2018-08-27 21:29:22,0.995s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:29:22,2018-08-27 21:29:22,0.261s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:29:22,2018-08-27 21:29:25,2.697s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:29:25,2018-08-27 21:29:26,1.135s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:29:26,2018-08-27 21:29:26,0.147s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:29:26,2018-08-27 21:29:26,0.120s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:29:26,2018-08-27 21:29:27,0.854s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:29:27,2018-08-27 21:29:36,8.734s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:29:27,2018-08-27 21:29:30,2.852s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:29:30,2018-08-27 21:29:30,0.672s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:29:30,2018-08-27 21:29:31,0.261s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:29:31,2018-08-27 21:29:33,2.760s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:29:33,2018-08-27 21:29:35,1.152s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:29:35,2018-08-27 21:29:35,0.160s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:29:35,2018-08-27 21:29:35,0.104s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:29:35,2018-08-27 21:29:36,0.759s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:29:36,2018-08-27 21:30:08,32.770s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:29:36,2018-08-27 21:30:08,32.308s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:30:08,2018-08-27 21:30:08,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:30:08,2018-08-27 21:30:46,37.534s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:30:08,2018-08-27 21:30:46,37.484s,FAILED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:30:46,2018-08-27 21:30:46,0.033s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:30:46,2018-08-27 21:30:46,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:30:46,2018-08-27 21:30:47,1.188s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:30:46,2018-08-27 21:30:47,1.027s,PASSED
