Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:19:51,2018-08-27 18:20:32,41.796s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:19:51,2018-08-27 18:19:59,8.673s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:19:51,2018-08-27 18:19:55,3.563s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:19:55,2018-08-27 18:19:55,0.553s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:19:55,2018-08-27 18:19:55,0.261s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:19:55,2018-08-27 18:19:58,2.782s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:19:58,2018-08-27 18:19:58,0.200s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:19:58,2018-08-27 18:19:59,0.209s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:19:59,2018-08-27 18:19:59,0.866s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:19:59,2018-08-27 18:20:32,32.023s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:20:00,2018-08-27 18:20:31,31.748s,FAILED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 18:20:31,2018-08-27 18:20:32,0.031s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:20:32,2018-08-27 18:20:32,0.000s,PASSED
