Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:11:13,2018-08-27 18:11:50,37.139s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:11:13,2018-08-27 18:11:23,9.393s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:11:14,2018-08-27 18:11:18,3.926s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:11:18,2018-08-27 18:11:18,0.829s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:11:18,2018-08-27 18:11:19,0.308s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:11:19,2018-08-27 18:11:22,2.765s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:11:22,2018-08-27 18:11:22,0.442s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:11:22,2018-08-27 18:11:22,0.097s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:11:22,2018-08-27 18:11:23,0.792s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:11:23,2018-08-27 18:11:49,26.651s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:11:23,2018-08-27 18:11:49,26.437s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:11:49,2018-08-27 18:11:49,0.001s,PASSED
