Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:50:26,2018-08-27 21:51:28,1m - 2.177s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:50:26,2018-08-27 21:50:36,10.120s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:50:26,2018-08-27 21:50:30,3.791s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:50:30,2018-08-27 21:50:31,0.811s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:50:31,2018-08-27 21:50:31,0.265s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:50:31,2018-08-27 21:50:34,2.741s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:50:34,2018-08-27 21:50:35,1.182s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:50:35,2018-08-27 21:50:35,0.153s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:50:35,2018-08-27 21:50:35,0.145s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:50:35,2018-08-27 21:50:36,0.800s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:50:36,2018-08-27 21:50:55,19.216s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:50:36,2018-08-27 21:50:55,18.783s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:50:55,2018-08-27 21:50:55,0.000s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:50:55,2018-08-27 21:50:55,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:50:55,2018-08-27 21:51:27,31.755s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:50:55,2018-08-27 21:51:27,31.674s,FAILED
