Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:07:23,2018-08-27 18:08:08,44.690s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:07:24,2018-08-27 18:07:33,8.824s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:07:24,2018-08-27 18:07:28,3.559s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:07:28,2018-08-27 18:07:28,0.519s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:07:28,2018-08-27 18:07:28,0.276s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:07:28,2018-08-27 18:07:31,2.931s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:07:31,2018-08-27 18:07:31,0.173s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:07:31,2018-08-27 18:07:32,0.296s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:07:32,2018-08-27 18:07:33,0.818s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:07:33,2018-08-27 18:08:07,34.773s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:07:33,2018-08-27 18:08:07,34.526s,FAILED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 18:08:07,2018-08-27 18:08:07,0.032s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:08:07,2018-08-27 18:08:07,0.000s,PASSED
