Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:48:18,2018-08-27 21:49:15,57.011s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:48:18,2018-08-27 21:48:29,10.448s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:48:19,2018-08-27 21:48:23,4.015s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:48:23,2018-08-27 21:48:24,0.924s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:48:24,2018-08-27 21:48:24,0.317s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:48:24,2018-08-27 21:48:27,2.786s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:48:27,2018-08-27 21:48:28,1.156s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:48:28,2018-08-27 21:48:28,0.134s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:48:28,2018-08-27 21:48:28,0.108s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:48:28,2018-08-27 21:48:29,0.785s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:48:29,2018-08-27 21:48:43,13.751s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:48:29,2018-08-27 21:48:43,13.348s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:48:43,2018-08-27 21:48:43,0.000s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:48:43,2018-08-27 21:48:43,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:48:43,2018-08-27 21:49:14,31.662s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:48:43,2018-08-27 21:49:14,31.596s,FAILED
