Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:31:13,2018-08-27 18:31:56,42.992s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:31:13,2018-08-27 18:31:22,8.929s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:31:14,2018-08-27 18:31:16,2.768s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:31:16,2018-08-27 18:31:17,0.544s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:31:17,2018-08-27 18:31:17,0.286s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:31:17,2018-08-27 18:31:20,2.720s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 18:31:20,2018-08-27 18:31:21,1.166s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:31:21,2018-08-27 18:31:21,0.149s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:31:21,2018-08-27 18:31:21,0.098s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:31:21,2018-08-27 18:31:22,0.976s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:31:22,2018-08-27 18:31:54,31.774s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:31:23,2018-08-27 18:31:54,31.566s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:31:54,2018-08-27 18:31:54,0.015s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 18:31:54,2018-08-27 18:31:55,1.098s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:31:54,2018-08-27 18:31:55,0.986s,PASSED
