Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:10:05,2018-08-27 21:10:26,20.524s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:10:05,2018-08-27 21:10:15,9.576s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:10:06,2018-08-27 21:10:09,2.888s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:10:09,2018-08-27 21:10:10,1.027s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:10:10,2018-08-27 21:10:10,0.282s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:10:10,2018-08-27 21:10:13,2.728s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:10:13,2018-08-27 21:10:14,1.131s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:10:14,2018-08-27 21:10:14,0.175s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:10:14,2018-08-27 21:10:14,0.277s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:10:14,2018-08-27 21:10:15,0.830s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:10:15,2018-08-27 21:10:25,9.653s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:10:15,2018-08-27 21:10:25,9.257s,FAILED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:10:25,2018-08-27 21:10:25,0.016s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:10:25,2018-08-27 21:10:25,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:10:25,2018-08-27 21:10:25,0.154s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:10:25,2018-08-27 21:10:25,0.010s,FAILED
