Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-28 13:35:23,2018-08-28 13:37:05,1m - 41.996s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-28 13:35:24,2018-08-28 13:36:10,46.578s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 13:35:24,2018-08-28 13:35:56,32.099s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-28 13:35:56,2018-08-28 13:35:56,0.188s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-28 13:35:56,2018-08-28 13:35:57,1.301s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 13:35:57,2018-08-28 13:36:04,7.031s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-28 13:36:04,2018-08-28 13:36:06,1.290s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 13:36:06,2018-08-28 13:36:08,1.806s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 13:36:08,2018-08-28 13:36:08,0.244s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 13:36:08,2018-08-28 13:36:10,2.408s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-28 13:36:10,2018-08-28 13:37:02,51.666s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-28 13:36:11,2018-08-28 13:37:02,51.085s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-28 13:37:02,2018-08-28 13:37:02,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-28 13:37:02,2018-08-28 13:37:03,1.333s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 13:37:02,2018-08-28 13:37:03,1.159s,PASSED
