Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:16:08,2018-08-27 21:16:53,44.928s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:16:08,2018-08-27 21:16:18,9.632s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:16:09,2018-08-27 21:16:12,3.576s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:16:12,2018-08-27 21:16:13,0.577s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:16:13,2018-08-27 21:16:13,0.292s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:16:13,2018-08-27 21:16:16,2.737s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:16:16,2018-08-27 21:16:17,1.155s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:16:17,2018-08-27 21:16:17,0.134s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:16:17,2018-08-27 21:16:17,0.115s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:16:17,2018-08-27 21:16:18,0.818s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:16:18,2018-08-27 21:16:51,33.352s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:16:18,2018-08-27 21:16:51,33.086s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:16:51,2018-08-27 21:16:51,0.016s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:16:51,2018-08-27 21:16:52,0.861s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:16:51,2018-08-27 21:16:52,0.733s,PASSED
