Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-28 12:06:26,2018-08-28 12:06:42,15.639s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-28 12:06:27,2018-08-28 12:06:40,13.482s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 12:06:27,2018-08-28 12:06:34,6.894s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-28 12:06:34,2018-08-28 12:06:34,0.039s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-28 12:06:34,2018-08-28 12:06:34,0.409s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 12:06:34,2018-08-28 12:06:38,3.257s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-28 12:06:38,2018-08-28 12:06:39,1.163s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 12:06:39,2018-08-28 12:06:39,0.345s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 12:06:39,2018-08-28 12:06:39,0.235s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 12:06:39,2018-08-28 12:06:40,0.880s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-28 12:06:40,2018-08-28 12:06:41,0.866s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-28 12:06:41,2018-08-28 12:06:41,0.443s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-28 12:06:41,2018-08-28 12:06:41,0.016s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-28 12:06:41,2018-08-28 12:06:41,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-28 12:06:41,2018-08-28 12:06:41,0.185s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 12:06:41,2018-08-28 12:06:41,0.091s,PASSED
