Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:06:01,2018-08-27 18:06:20,19.426s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:06:01,2018-08-27 18:06:11,9.476s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:06:01,2018-08-27 18:06:06,4.564s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:06:06,2018-08-27 18:06:06,0.546s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:06:06,2018-08-27 18:06:07,0.289s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:06:07,2018-08-27 18:06:10,2.793s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:06:10,2018-08-27 18:06:10,0.157s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:06:10,2018-08-27 18:06:10,0.106s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:06:10,2018-08-27 18:06:11,0.782s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:06:11,2018-08-27 18:06:19,8.628s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:06:11,2018-08-27 18:06:19,8.317s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 18:06:19,2018-08-27 18:06:19,0.075s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:06:19,2018-08-27 18:06:19,0.000s,PASSED
