Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:19:39,2018-08-27 21:19:54,15.175s,ERROR
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:19:39,2018-08-27 21:19:49,9.839s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:19:39,2018-08-27 21:19:43,3.447s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:19:43,2018-08-27 21:19:43,0.882s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:19:43,2018-08-27 21:19:44,0.290s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:19:44,2018-08-27 21:19:47,2.785s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:19:47,2018-08-27 21:19:48,1.163s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:19:48,2018-08-27 21:19:48,0.148s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:19:48,2018-08-27 21:19:48,0.120s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:19:48,2018-08-27 21:19:49,0.753s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:19:49,2018-08-27 21:19:49,0.255s,ERROR
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:19:49,2018-08-27 21:19:53,3.658s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:19:49,2018-08-27 21:19:53,3.477s,PASSED
