Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 17:58:34,2018-08-27 17:58:54,19.323s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 17:58:35,2018-08-27 17:58:45,10.008s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 17:58:35,2018-08-27 17:58:39,4.024s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 17:58:39,2018-08-27 17:58:40,0.983s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 17:58:40,2018-08-27 17:58:40,0.314s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 17:58:40,2018-08-27 17:58:44,3.441s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 17:58:44,2018-08-27 17:58:44,0.131s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 17:58:44,2018-08-27 17:58:44,0.085s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 17:58:44,2018-08-27 17:58:45,0.817s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 17:58:45,2018-08-27 17:58:54,9.028s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 17:58:45,2018-08-27 17:58:52,7.468s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 17:58:52,2018-08-27 17:58:54,1.346s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 17:58:54,2018-08-27 17:58:54,0.000s,PASSED
