Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-28 12:16:31,2018-08-28 12:17:22,51.197s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-28 12:16:31,2018-08-28 12:16:46,14.355s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 12:16:31,2018-08-28 12:16:38,6.038s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-28 12:16:38,2018-08-28 12:16:39,1.760s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-28 12:16:39,2018-08-28 12:16:40,0.305s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 12:16:40,2018-08-28 12:16:43,3.734s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-28 12:16:43,2018-08-28 12:16:44,1.154s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 12:16:44,2018-08-28 12:16:45,0.134s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 12:16:45,2018-08-28 12:16:45,0.097s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 12:16:45,2018-08-28 12:16:46,0.893s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-28 12:16:46,2018-08-28 12:17:20,34.118s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-28 12:16:46,2018-08-28 12:17:20,33.755s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-28 12:17:20,2018-08-28 12:17:20,0.001s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-28 12:17:20,2018-08-28 12:17:21,1.137s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 12:17:20,2018-08-28 12:17:21,0.980s,PASSED
