Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:32:07,2018-08-27 18:32:51,43.999s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:32:07,2018-08-27 18:32:17,10.428s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:32:07,2018-08-27 18:32:11,4.147s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:32:11,2018-08-27 18:32:12,0.783s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:32:12,2018-08-27 18:32:12,0.298s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:32:12,2018-08-27 18:32:15,2.760s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 18:32:15,2018-08-27 18:32:16,1.164s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:32:16,2018-08-27 18:32:16,0.144s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:32:16,2018-08-27 18:32:16,0.098s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:32:16,2018-08-27 18:32:17,0.786s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:32:17,2018-08-27 18:32:49,31.527s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:32:18,2018-08-27 18:32:49,31.288s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:32:49,2018-08-27 18:32:49,0.001s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 18:32:49,2018-08-27 18:32:50,1.090s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:32:49,2018-08-27 18:32:50,0.957s,PASSED
