Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:27:05,2018-08-27 21:28:11,1m - 6.339s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:27:05,2018-08-27 21:27:15,10.223s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:27:05,2018-08-27 21:27:09,3.698s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:27:09,2018-08-27 21:27:11,1.390s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:27:11,2018-08-27 21:27:11,0.256s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:27:11,2018-08-27 21:27:13,2.448s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:27:13,2018-08-27 21:27:14,1.159s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:27:14,2018-08-27 21:27:15,0.167s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:27:15,2018-08-27 21:27:15,0.104s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:27:15,2018-08-27 21:27:15,0.758s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:27:15,2018-08-27 21:27:39,23.275s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:27:16,2018-08-27 21:27:39,22.803s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:27:39,2018-08-27 21:27:39,0.031s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:27:39,2018-08-27 21:27:39,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:27:39,2018-08-27 21:28:10,31.705s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:27:39,2018-08-27 21:28:10,31.622s,FAILED
