Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-28 13:39:21,2018-08-28 13:40:34,1m - 12.984s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-28 13:39:22,2018-08-28 13:39:54,32.851s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-28 13:39:22,2018-08-28 13:39:43,21.183s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-28 13:39:43,2018-08-28 13:39:43,0.033s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-28 13:39:43,2018-08-28 13:39:44,0.609s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-28 13:39:44,2018-08-28 13:39:49,5.348s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-28 13:39:49,2018-08-28 13:39:50,1.150s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 13:39:50,2018-08-28 13:39:52,2.059s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-28 13:39:52,2018-08-28 13:39:52,0.250s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 13:39:52,2018-08-28 13:39:54,1.999s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-28 13:39:54,2018-08-28 13:40:31,36.770s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-28 13:39:55,2018-08-28 13:40:31,36.435s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-28 13:40:31,2018-08-28 13:40:31,0.001s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-28 13:40:31,2018-08-28 13:40:33,1.316s,PASSED
click,Chrome 68.0.3440.106,,2018-08-28 13:40:31,2018-08-28 13:40:33,1.135s,PASSED
