Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:25:49,2018-08-27 18:26:33,43.130s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:25:50,2018-08-27 18:25:59,9.540s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:25:50,2018-08-27 18:25:54,3.834s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:25:54,2018-08-27 18:25:55,0.860s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:25:55,2018-08-27 18:25:55,0.285s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:25:55,2018-08-27 18:25:58,3.266s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:25:58,2018-08-27 18:25:58,0.139s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:25:58,2018-08-27 18:25:58,0.109s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:25:58,2018-08-27 18:25:59,0.811s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:25:59,2018-08-27 18:26:31,31.561s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:26:00,2018-08-27 18:26:31,31.309s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:26:31,2018-08-27 18:26:31,0.016s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 18:26:31,2018-08-27 18:26:32,0.944s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:26:31,2018-08-27 18:26:32,0.751s,PASSED
