Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:06:39,2018-08-27 21:07:03,23.293s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:06:40,2018-08-27 21:06:50,10.126s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:06:40,2018-08-27 21:06:44,3.508s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:06:44,2018-08-27 21:06:45,1.101s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:06:45,2018-08-27 21:06:45,0.251s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:06:45,2018-08-27 21:06:48,2.711s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:06:48,2018-08-27 21:06:49,1.030s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:06:49,2018-08-27 21:06:49,0.252s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:06:49,2018-08-27 21:06:49,0.113s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:06:49,2018-08-27 21:06:50,0.847s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:06:50,2018-08-27 21:07:00,9.913s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:06:50,2018-08-27 21:07:00,9.538s,FAILED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:07:00,2018-08-27 21:07:00,0.025s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:07:00,2018-08-27 21:07:00,0.001s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:07:00,2018-08-27 21:07:02,2.133s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:07:00,2018-08-27 21:07:02,2.028s,FAILED
