Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:42:01,2018-08-27 21:42:44,43.773s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:42:01,2018-08-27 21:42:11,9.673s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:42:01,2018-08-27 21:42:04,2.840s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:42:04,2018-08-27 21:42:05,0.862s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:42:05,2018-08-27 21:42:05,0.327s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:42:05,2018-08-27 21:42:08,3.098s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:42:08,2018-08-27 21:42:10,1.150s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:42:10,2018-08-27 21:42:10,0.142s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:42:10,2018-08-27 21:42:10,0.103s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:42:10,2018-08-27 21:42:11,0.802s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:42:11,2018-08-27 21:42:43,31.882s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:42:11,2018-08-27 21:42:43,31.485s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:42:43,2018-08-27 21:42:43,0.016s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:42:43,2018-08-27 21:42:44,1.075s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:42:43,2018-08-27 21:42:44,0.964s,PASSED
