Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:46:17,2018-08-27 21:47:16,58.334s,FAILED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:46:18,2018-08-27 21:46:28,10.554s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:46:18,2018-08-27 21:46:22,3.784s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:46:22,2018-08-27 21:46:22,0.770s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:46:22,2018-08-27 21:46:23,0.295s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:46:23,2018-08-27 21:46:26,3.276s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:46:26,2018-08-27 21:46:27,1.158s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:46:27,2018-08-27 21:46:27,0.147s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:46:27,2018-08-27 21:46:27,0.091s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:46:27,2018-08-27 21:46:28,0.802s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:46:28,2018-08-27 21:46:43,14.658s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:46:28,2018-08-27 21:46:43,14.291s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 21:46:43,2018-08-27 21:46:43,0.016s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:46:43,2018-08-27 21:46:43,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:46:43,2018-08-27 21:47:15,31.973s,FAILED
click,Chrome 68.0.3440.106,,2018-08-27 21:46:43,2018-08-27 21:47:15,31.796s,FAILED
