Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:03:19,2018-08-27 18:03:37,18.044s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:03:19,2018-08-27 18:03:29,9.242s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:03:20,2018-08-27 18:03:24,4.135s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:03:24,2018-08-27 18:03:24,0.497s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:03:24,2018-08-27 18:03:25,0.302s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:03:25,2018-08-27 18:03:27,2.749s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:03:27,2018-08-27 18:03:28,0.190s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:03:28,2018-08-27 18:03:28,0.277s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:03:28,2018-08-27 18:03:29,0.790s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:03:29,2018-08-27 18:03:36,7.620s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:03:29,2018-08-27 18:03:36,7.290s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 18:03:36,2018-08-27 18:03:36,0.074s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:03:36,2018-08-27 18:03:36,0.000s,PASSED
