Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:00:20,2018-08-27 18:00:38,18.307s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:00:20,2018-08-27 18:00:29,9.122s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:00:21,2018-08-27 18:00:25,4.040s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:00:25,2018-08-27 18:00:25,0.558s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:00:25,2018-08-27 18:00:25,0.255s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:00:25,2018-08-27 18:00:28,2.756s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:00:28,2018-08-27 18:00:28,0.170s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:00:28,2018-08-27 18:00:28,0.103s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:00:28,2018-08-27 18:00:29,0.992s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:00:29,2018-08-27 18:00:38,8.105s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:00:30,2018-08-27 18:00:37,7.759s,PASSED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 18:00:37,2018-08-27 18:00:38,0.073s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:00:38,2018-08-27 18:00:38,0.000s,PASSED
