Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:32:25,2018-08-27 21:33:09,43.769s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:32:26,2018-08-27 21:32:35,9.734s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:32:26,2018-08-27 21:32:29,2.940s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:32:29,2018-08-27 21:32:30,1.145s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:32:30,2018-08-27 21:32:30,0.305s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:32:30,2018-08-27 21:32:33,2.806s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:32:33,2018-08-27 21:32:34,1.155s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:32:34,2018-08-27 21:32:34,0.207s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:32:34,2018-08-27 21:32:34,0.145s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:32:34,2018-08-27 21:32:35,0.782s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:32:35,2018-08-27 21:33:07,31.852s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:32:36,2018-08-27 21:33:07,31.496s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:33:07,2018-08-27 21:33:07,0.000s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:33:07,2018-08-27 21:33:08,1.094s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:33:07,2018-08-27 21:33:08,0.982s,PASSED
