Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:16:59,2018-08-27 18:17:42,43.290s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:16:59,2018-08-27 18:17:09,10.195s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:16:59,2018-08-27 18:17:04,4.418s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:17:04,2018-08-27 18:17:04,0.594s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:17:04,2018-08-27 18:17:04,0.281s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:17:04,2018-08-27 18:17:08,3.619s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:17:08,2018-08-27 18:17:08,0.159s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:17:08,2018-08-27 18:17:08,0.108s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:17:08,2018-08-27 18:17:09,0.785s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:17:09,2018-08-27 18:17:41,31.965s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:17:09,2018-08-27 18:17:41,31.720s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:17:41,2018-08-27 18:17:41,0.001s,PASSED
