Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 18:09:32,2018-08-27 18:10:11,38.675s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 18:09:32,2018-08-27 18:09:42,9.618s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 18:09:33,2018-08-27 18:09:37,3.955s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 18:09:37,2018-08-27 18:09:38,1.115s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 18:09:38,2018-08-27 18:09:38,0.302s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 18:09:38,2018-08-27 18:09:41,2.760s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:09:41,2018-08-27 18:09:41,0.182s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 18:09:41,2018-08-27 18:09:41,0.160s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 18:09:41,2018-08-27 18:09:42,0.894s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 18:09:42,2018-08-27 18:10:10,27.914s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 18:09:42,2018-08-27 18:10:10,27.573s,FAILED
Statement - Catch (Exception e),Chrome 68.0.3440.106,,2018-08-27 18:10:10,2018-08-27 18:10:10,0.009s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 18:10:10,2018-08-27 18:10:10,0.000s,PASSED
