Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoSuite1_1,Chrome 68.0.3440.106,,2018-08-27 21:58:34,2018-08-27 21:59:17,43.078s,PASSED
,,,,,,
Test Cases/DemoTest/Login,Chrome 68.0.3440.106,,2018-08-27 21:58:34,2018-08-27 21:58:43,9.115s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-27 21:58:34,2018-08-27 21:58:37,2.931s,PASSED
deleteAllCookies,Chrome 68.0.3440.106,,2018-08-27 21:58:37,2018-08-27 21:58:38,0.595s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-08-27 21:58:38,2018-08-27 21:58:38,0.297s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-27 21:58:38,2018-08-27 21:58:41,2.860s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-08-27 21:58:41,2018-08-27 21:58:42,1.152s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:58:42,2018-08-27 21:58:42,0.152s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-27 21:58:42,2018-08-27 21:58:42,0.103s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:58:42,2018-08-27 21:58:43,0.795s,PASSED
,,,,,,
Test Cases/DemoTest/CreateDE1_1,Chrome 68.0.3440.106,input data in textfield,2018-08-27 21:58:43,2018-08-27 21:59:15,32.015s,PASSED
Statement - Try,Chrome 68.0.3440.106,,2018-08-27 21:58:43,2018-08-27 21:59:15,31.596s,PASSED
Statement - Finally,Chrome 68.0.3440.106,,2018-08-27 21:59:15,2018-08-27 21:59:15,0.016s,PASSED
,,,,,,
Test Cases/DemoTest/Logoff,Chrome 68.0.3440.106,,2018-08-27 21:59:15,2018-08-27 21:59:16,0.831s,PASSED
click,Chrome 68.0.3440.106,,2018-08-27 21:59:15,2018-08-27 21:59:16,0.720s,PASSED
